carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
arik-air,Arik Air,W3,Nigeria,Scheduled,,,,,,,,,,,,,,yes,no
arincaeronautical-radio-inc,"ARINC(Aeronautical Radio, Inc.)",XA,United States,Scheduled,,,,,,,,,,,,,,no,no
arkhangelsk-2,Arkhangelsk-2,АЧ,Russia,Scheduled,,,,,,,,,,,,,,no,no
arkia,Arkia,IZ,Israel,Scheduled,,,,https://www.arkia.co.il,,,,,,,https://www.arkia.co.il/content/movil-domestic,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
arktika,Arktika,СИ,Russia,Scheduled,,,,,,,,,,,,,,no,no
armenia-airways,Armenia Airways,6A,Armenia,Scheduled,,,,,,,,,,,,,,no,no
armenian-airlines,Armenian Airlines,JI,Armenia,Scheduled,,,,,,,,,,,,,,no,no
aruba-airlines,Aruba Airlines,AG,Aruba,Scheduled,,,,,,,,,,,,,,no,no
as-salaam-air,AS SALAAM AIR,0W,Tanzania,Scheduled,,,,,,,,,,,,,,no,no
ascend-airways,Ascend Airways,YD,Belarus,Scheduled,,,,,,,,,,,,,,no,no
aserca-airlines,Aserca Airlines,R7,Venezuela,Scheduled,,,,,,,,,,,,,,yes,no
asian-wings-airways,Asian Wings Airways,YJ,Burma,Scheduled,,,,,,,,,,,,,,no,no
asiana-airlines,Asiana Airlines,OZ,South Korea,Scheduled,,,,https://flyasiana.com,,,,,,,https://flyasiana.com/C/GB/EN/contents/terms-of-transportation-and-notification,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
asky-airlines,ASKY Airlines,KP,Togo,Scheduled,,,,https://www.flyasky.com,,,,,,,https://www.flyasky.com/aa/en/plan,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
asl-airlines-france,ASL Airlines France,5O,France,Scheduled,,,,https://www.aslairlines.fr,,,,,,,https://www.aslairlines.fr/wp-content/uploads/2013/04/190219-GAL-CONDITIONS-OF-CARRIAGE-2019-1.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
asl-airlines-ireland,ASL Airlines Ireland,5H,Ireland,Low-cost,,,,,,,,,,,,,,no,no
asl-airways,ASL Airways,3V,Belgium,Scheduled,,,,,,,,,,,,,,no,no
asman-airlines,Asman Airlines,MN,Kyrgyzstan,Low-cost,,,,,,,,,,,,,,no,no
atlantic-airways,Atlantic Airways,RC,Faroe Islands,Low-cost,,,,https://www.atlanticairways.com,,,,,,,https://www.atlanticairways.com/media/1523/iata_conditions-of-contract_en.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
atlas-air,Atlas Air,5Y,United States,Scheduled,,,,,,,,,,,,,,yes,no
atran,Atran,V8,Russia,Scheduled,,,,,,,,,,,,,,yes,no
atsa-airlines,ATSA Airlines,4A,Peru,Low-cost,,,,,,,,,,,,,,no,no
auric-air,Auric Air,UI,Tanzania,Scheduled,,,,,,,,,,,,,,no,no
aurigny,Aurigny,GR,Guernsey,Scheduled,,,,https://www.aurigny.com,,,,,,,https://www.aurigny.com/legal/conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
aurora,Aurora,HZ,Russia,Scheduled,,,,,,,,,,,,,,no,no
austral-lineas-aereas,Austral Lineas Aereas,AU,Argentina,Scheduled,,,,,,,,,,,,,,no,no
australian-airlines,Australian Airlines,AO,Australia,Scheduled,,,,,,,,,,,,,,no,no
austrian-airlines,Austrian Airlines,OS,Austria,Scheduled,,,,https://www.austrian.com,,,,,,,https://www.austrian.com/es/en/legal/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
avelo-airlines,Avelo Airlines,XP,United States,Low-cost,,,,,,,,,,,,,,no,no
avia-traffic-company,Avia Traffic Company,ТФ,Kyrgyzstan,Scheduled,,,,,,,,,,,,,,no,no
