carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes
indigo,IndiGo,6E,India,Low-cost,yes,en-in,1b,South Asia,,,https://www.goindigo.in/baggage/checked-baggage.html,https://www.goindigo.in/baggage/hand-baggage.html,https://www.goindigo.in/baggage/excess-baggage.html,https://www.goindigo.in/information/fare-rules.html,https://www.goindigo.in/check-in.html,https://www.goindigo.in/information/conditions-of-carriage.html,,yes,2026-09-03,0,6,no,yes,no,,article_selector,6/6 urls
indonesia-airasia,Indonesia AirAsia,QZ,Indonesia,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
innoaviation,InnoAviation,I3,Iran,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
insel-air-aruba,Insel Air Aruba,8I,Aruba,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
intercaribbean-airways,InterCaribbean Airways,JY,Turks and Caicos Islands,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iraero,IrAero,IO,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iran-air,Iran Air,IR,Iran,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iran-airtour,Iran Airtour,B9,Iran,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iran-aseman-airlines,Iran Aseman Airlines,EP,Iran,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iraqi-airways,Iraqi Airways,IA,Iraq,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
island-air,Island Air,WP,Mexico,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
island-air-express,Island Air Express,I4,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
islena-de-inversiones-sa-de-cvdba-islena-airlines,Islena de Inversiones S.A. de C.V.dba Islena Airlines,WC,Honduras,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
israir-airlines,Israir Airlines,6H,Israel,Scheduled,yes,en,manual-priority,Asia,https://www.israirairlines.com,,https://www.israir.co.il/Info/Baggage_Policy.html,https://www.israir.co.il/Passengers_Info/Baggage_Policy_English.html,https://www.israir.co.il/Info/Baggage_Policy.html,,https://www.israir.co.il/Passengers_Info/Online_Check_In_Policy_English,https://www.israirairlines.com/,,yes,2026-09-03,2,3,no,yes,yes,https://www.israirairlines.com/,fare_conditions_url;article_selector,5/6 urls imported from filled priority CSV
itek-air,Itek Air,GI,Kyrgyzstan,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
izhavia,Izhavia,I8,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
jandm-alaska-air,J&M Alaska Air,JN,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
jsc-sirena-travel,"JSC ""Sirena-Travel""",1H,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
jsc-aircompany-atma,JSC Aircompany ATMA,IM,Kazakhstan,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
