carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
china-southern-airlines,China Southern Airlines,CZ,China,Scheduled,,,,https://www.csair.com,,,,,,,https://www.csair.com/cn/tourguide/booking/orders/order/gjysztj/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
china-united-airlines,China United Airlines,KN,China,Low-cost,,,,,,,,,,,,,,yes,yes
chongqing-airlines,Chongqing Airlines,OQ,China,Scheduled,,,,,,,,,,,,,,yes,yes
cimber,Cimber,QA,Denmark,Scheduled,,,,,,,,,,,,,,yes,no
citilink,Citilink,QG,Indonesia,Low-cost,,,,,,,,,,,,,,yes,yes
cm-airlines,CM Airlines,H5,Honduras,Scheduled,,,,,,,,,,,,,,no,yes
conviasa,Conviasa,V0,Venezuela,Scheduled,,,,,,,,,,,,,,yes,no
copa-airlines,Copa Airlines,CM,Panama,Scheduled,,,,https://www.copaair.com,,,,,,,https://www.copaair.com/en/web/us/contract-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
corendon-airlines,Corendon Airlines,XC,Turkey,Scheduled,,,,,,,,,,,,,,yes,yes
corendon-airlines-europe,Corendon Airlines Europe,XR,Malta,Scheduled,,,,,,,,,,,,,,yes,no
corsair-international,Corsair International,SS,France,Scheduled,,,,https://www.flycorsair.com,,,,,,,https://www.flycorsair.com/en/legal/general-sale-and-transport-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes
croatia-airlines,Croatia Airlines,OU,Croatia,Scheduled,,,,https://www.croatiaairlines.com,,,,,,,https://www.croatiaairlines.com/Legal-information/General-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
cronos-airlines,Cronos Airlines,C8,Equatorial Guinea,Scheduled,,,,,,,,,,,,,,yes,no
csa-czech-airlines,CSA Czech Airlines,OK,Czech Republic,Scheduled,,,,https://www.csa.cz,,,,,,,https://www.csa.cz/gb-en/travel-information/before-the-flight/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes
cyprus-airways,Cyprus Airways,CY,Cyprus,Scheduled,,,,,,,,,,,,,,yes,no
daallo-airlines,Daallo Airlines,D3,Djibouti,Scheduled,,,,,,,,,,,,,,yes,yes
dana-air,Dana Air,9J,Nigeria,Scheduled,,,,,,,,,,,,,,yes,no
danish-air-transport,Danish Air Transport,DX,Denmark,Scheduled,,,,,,,,,,,,,,no,yes
delta-air-lines,Delta Air Lines,DL,United States,Scheduled,,,,https://www.delta.com,,,,,,,https://www.delta.com/gb/en/legal/contract-of-carriage-igr,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
dhl-air-limited,DHL Air Limited,D0,United Kingdom,Scheduled,,,,,,,,,,,,,,yes,no
dniproavia,Dniproavia,Z6,Ukraine,Scheduled,,,,,,,,,,,,,,yes,yes
donavia,Donavia,D9,Russia,Scheduled,,,,,,,,,,,,,,yes,no
donghai-airlines,Donghai Airlines,DZ,China,Scheduled,,,,,,,,,,,,,,yes,yes
dot-lt,DOT LT,R6,Lithuania,Scheduled,,,,,,,,,,,,,,yes,no
eastar-jet,Eastar Jet,ZE,South Korea,Low-cost,,,,,,,,,,,,,,yes,no
eastern-airways,Eastern Airways,T3,United Kingdom,Low-cost,,,,,,,,,,,,,,yes,no
edelweiss-air,Edelweiss Air,WK,Switzerland,Scheduled,,,,,,,,,,,,,,yes,no
egyptair,Egyptair,MS,Egypt,Scheduled,,,,https://www.egyptair.com,,,,,,,https://www.egyptair.com/en/Pages/Conditions-of-Carriage.aspx,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
ellinair,Ellinair,EL,Greece,Scheduled,,,,,,,,,,,,,,no,yes
enter-air,Enter Air,E4,Poland,Scheduled,,,,,,,,,,,,,,no,yes
envoy-air,Envoy Air,MQ,United States,Scheduled,,,,,,,,,,,,,,yes,no
eritrean-airlines,Eritrean Airlines,B8,Eritrea,Scheduled,,,,,,,,,,,,,,yes,no
ernest-airlines,Ernest Airlines,EG,Italy,Low-cost,,,,,,,,,,,,,,no,yes
ethiopian-airlines,Ethiopian Airlines,ET,Ethiopia,Scheduled,,,,https://www.ethiopianairlines.com,,,,,,,https://www.ethiopianairlines.com/aa/information/essential-information/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
