name,slug,iata,country,type
Envoy Air,envoy-air,MQ,United States,Scheduled
Equaflight,equaflight,E7,Republic of the Congo,Scheduled
Eritrean Airlines,eritrean-airlines,B8,Eritrea,Scheduled
Ernest Airlines,ernest-airlines,EG,Italy,Low-cost
Eswatini Air,eswatini-air,RN,Eswatini,Scheduled
Ethiopian Airlines,ethiopian-airlines,ET,Ethiopia,Scheduled
Etihad Airways,etihad-airways,EY,United Arab Emirates,Scheduled
Euro-Asia Air,euro-asia-air,6Z,Kazakhstan,Scheduled
EuroAtlantic Airways,euroatlantic-airways,YU,Portugal,Scheduled
Euroairlines,euroairlines,Q4,Spain,Scheduled
Eurolot,eurolot,K2,Poland,Scheduled
European Air Charter,european-air-charter,H6,United Kingdom,Scheduled
European Air Transport,european-air-transport,QY,Belgium,Scheduled
European Cargo Services BV,european-cargo-services-bv,EJ,Netherlands,Scheduled
Eurostar,eurostar,9F,United Kingdom,Scheduled
Eurowings,eurowings,EW,Germany,Low-cost
Everts Air Cargo,everts-air-cargo,5V,United States,Scheduled
Express Airline,express-airline,7A,Tunisia,Scheduled
ExpressJet,expressjet,EV,United States,Scheduled
Eznis Airways,eznis-airways,MG,Mongolia,Scheduled
FAT Far Eastern Air Transport,fat-far-eastern-air-transport,FE,Taiwan (Republic of China),Scheduled
FLYONE Armenia,flyone-armenia,3F,Armenia,Low-cost
FLYYO,flyyo,4D,Romania,Scheduled
Fastjet Zimbabwe,fastjet-zimbabwe,FN,Zimbabwe,Scheduled
FedEx,fedex,FX,United States,Scheduled
Federal Air,federal-air,7V,South Africa,Scheduled
Fiji Airways,fiji-airways,FJ,Fiji,Scheduled
Finist'air,finistair,0D,France,Scheduled
Finnair,finnair,AY,Finland,Scheduled
Firefly,firefly,FY,Malaysia,Scheduled
First Air,first-air,7F,Canada,Scheduled
FitsAir,fitsair,8D,Sri Lanka,Low-cost
Flair Airlines,flair-airlines,F8,Canada,Low-cost
FlexFlight,flexflight,W2,Denmark,Scheduled
Flightlink,flightlink,YS,Tanzania,Scheduled
Fly All Ways,fly-all-ways,8W,Suriname,Scheduled
Fly Arna,fly-arna,G6,Armenia,Low-cost
Fly Baghdad,fly-baghdad,IF,Iraq,Scheduled
Fly Branson Travel dba Branson AirExpress,fly-branson-travel-dba-branson-airexpress,1X,United States,Scheduled
Fly CamInter,fly-caminter,EF,Cambodia,Low-cost
Fly Jordan,fly-jordan,F0,Jordan,Scheduled
Fly Lili,fly-lili,FL,Romania,Scheduled
Fly One,fly-one,5F,Moldova,Low-cost
Fly One (Romania),fly-one-romania,OE,Moldova,Low-cost
Fly Oya,fly-oya,YI,Libya,Scheduled
Fly Pro,fly-pro,FP,United States,Scheduled
Fly Red Sea,fly-red-sea,Z4,Saudi Arabia,Scheduled
Fly2Sky,fly2sky,F6,Bulgaria,Scheduled
FlyALS,flyals,0F,Kenya,Scheduled
FlyAden,flyaden,DH,Yemen,Scheduled
FlyArystan,flyarystan,FS,Kazakhstan,Low-cost
FlyBosnia,flybosnia,6W,Bosnia and Herzegovina,Scheduled
FlyEgypt,flyegypt,FT,Egypt,Scheduled
FlyGabon,flygabon,J7,Gabon,Scheduled
FlyJinnah,flyjinnah,9P,Pakistan,Low-cost
FlyKhiva,flykhiva,2U,Uzbekistan,Scheduled
FlyNamibia,flynamibia,WV,Namibia,Scheduled
FlyOne Asia,flyone-asia,7Q,Thailand,Low-cost
FlySafair,flysafair,FA,South Africa,Low-cost
Flybe,flybe,BE,United Kingdom,Low-cost
Flybondi,flybondi,FO,Argentina,Low-cost
Flybusteam,flybusteam,ГЭ,Russia,Scheduled
Flydubai,flydubai,FZ,United Arab Emirates,Low-cost
Flynas,flynas,XY,Saudi Arabia,Low-cost
Freebird Airlines,freebird-airlines,FH,Turkey,Scheduled
Freedom Airline Express,freedom-airline-express,4F,United States,Scheduled
French Armed Forces,french-armed-forces,RD,France,Scheduled
French Bee,french-bee,BF,France,Low-cost
Frontier Airlines,frontier-airlines,F9,United States,Low-cost
Fuji Dream Airlines,fuji-dream-airlines,JH,Japan,Scheduled
Fuzhou Airlines,fuzhou-airlines,FU,China,Scheduled
GP Aviation,gp-aviation,IV,Bulgaria,Scheduled
GX Airlines,gx-airlines,GX,China,Scheduled
Galileo International,galileo-international,1V,United States,Scheduled
