carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes,matched_source_airline_id,enrichment_sources
sky-vision-airlines,Sky Vision Airlines,SE,France,Scheduled,no,,,Europe,https://european.aero,https://european.aero/contact-details,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,european-cargo-262,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
sky-wings-airlines,Sky Wings Airlines,ND,Greece,Scheduled,no,,,Europe,https://fmiair.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,fmi-air-602,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
skyalps,SkyAlps,BQ,Italy,Scheduled,no,en,,Europe,https://skyalps.com,,,,,,,https://www.skyalps.com/en/policies/general-conditions-of-sale-and-carriage,,no,,0,0,no,no,no,https://www.skyalps.com/en/policies/general-conditions-of-sale-and-carriage,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector;,,sky-alps-1833,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
skybahamas,SkyBahamas,Q7,Bahamas,Scheduled,no,en,,Caribbean,,,,,,,,,,no,,0,0,no,yes,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
skyjet-airlines,SkyJet Airlines,M8,Uganda,Scheduled,no,en,,Africa,https://transnusa.co.id,,https://www.transmaldivian.com/baggage-restrictions,https://www.transmaldivian.com/baggage-restrictions,https://www.transmaldivian.com/baggage-restrictions,,,,,no,,0,0,no,no,yes,,band;help_root;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,trans-maldivian-airways-1802,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
skytaxi,SkyTaxi,TE,Romania,Scheduled,no,en,,Europe,https://skytaxi.aero,,https://skytaxi.aero/en/baggage,https://skytaxi.aero/en/baggage,https://skytaxi.aero/en/baggage,,,,,no,,0,0,no,no,no,,band;help_root;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,skytaxi-765,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
skyup-airlines,SkyUp Airlines,PQ,Puerto Rico,Low-cost,no,,,Caribbean,https://transafrik.com,,,,,,,,,no,,0,0,no,no,yes,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,transafrik-international-863,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
skyup-mt,SkyUp MT,U5,United States,Low-cost,no,en,,North America,https://skyup.aero,,https://skyup.aero/en/faq/baggage,https://skyup.aero/en/faq/baggage,https://skyup.aero/en/faq/baggage,,,,,no,,0,0,no,no,no,,band;help_root;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,skyup-mt-277,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
skywest-airlines,SkyWest Airlines,OO,Australia,Scheduled,yes,en-au,manual-priority,Australia/Pacific,https://www.skywest.com,,,,,,,https://www.skywest.com/fly-skywest-airlines/customer-information#!contract-of-carriage,,yes,2026-09-03,0,1,no,yes,no,https://www.skywest.com/fly-skywest-airlines/customer-information#!contract-of-carriage,help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector;,1/6 urls imported from filled priority CSV; conditions_of_carriage_url prefilled from Duffel refs; please verify.,,
skywork-airlines,SkyWork Airlines,SX,Switzerland,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
